img,plate,source_img,augment_type,plate_type
11_medium.png,54-P1 1782,11.png,medium,2line
11_high.png,54-P1 1782,11.png,high,2line
11_occluded.png,54-P1 1782,11.png,occluded,2line
12_low.png,54-L3 6961,12.png,low,2line
12_medium.png,54-L3 6961,12.png,medium,2line
12_high.png,54-L3 6961,12.png,high,2line
12_occluded.png,54-L3 6961,12.png,occluded,2line
13_low.png,59-K1 223.23,13.png,low,2line
13_medium.png,59-K1 223.23,13.png,medium,2line
13_high.png,59-K1 223.23,13.png,high,2line
13_occluded.png,59-K1 223.23,13.png,occluded,2line
14_low.png,59-M1 217.04,14.png,low,2line
14_medium.png,59-M1 217.04,14.png,medium,2line
14_high.png,59-M1 217.04,14.png,high,2line
14_occluded.png,59-M1 217.04,14.png,occluded,2line
15_low.png,54-P2 4739,15.png,low,2line
15_medium.png,54-P2 4739,15.png,medium,2line
15_high.png,54-P2 4739,15.png,high,2line
15_occluded.png,54-P2 4739,15.png,occluded,2line
16_low.png,63-B3 044.26,16.png,low,2line
16_medium.png,63-B3 044.26,16.png,medium,2line
16_high.png,63-B3 044.26,16.png,high,2line
16_occluded.png,63-B3 044.26,16.png,occluded,2line
17_low.png,60-C1 237.74,17.png,low,2line
17_medium.png,60-C1 237.74,17.png,medium,2line
17_high.png,60-C1 237.74,17.png,high,2line
17_occluded.png,60-C1 237.74,17.png,occluded,2line
18_low.png,59-N1 695.75,18.png,low,2line
18_medium.png,59-N1 695.75,18.png,medium,2line
18_high.png,59-N1 695.75,18.png,high,2line
18_occluded.png,59-N1 695.75,18.png,occluded,2line
19_low.png,54-V2 5804,19.png,low,2line
19_medium.png,54-V2 5804,19.png,medium,2line
19_high.png,54-V2 5804,19.png,high,2line
19_occluded.png,54-V2 5804,19.png,occluded,2line
20_low.png,60-U2 3465,20.png,low,2line
20_medium.png,60-U2 3465,20.png,medium,2line
20_high.png,60-U2 3465,20.png,high,2line
20_occluded.png,60-U2 3465,20.png,occluded,2line
21_low.png,52-T8 5761,21.png,low,2line
21_medium.png,52-T8 5761,21.png,medium,2line
21_high.png,52-T8 5761,21.png,high,2line
21_occluded.png,52-T8 5761,21.png,occluded,2line
22_low.png,76-H1 175.50,22.png,low,2line
22_medium.png,76-H1 175.50,22.png,medium,2line
22_high.png,76-H1 175.50,22.png,high,2line
22_occluded.png,76-H1 175.50,22.png,occluded,2line
23_low.png,59-C2 593.92,23.png,low,2line
23_medium.png,59-C2 593.92,23.png,medium,2line
23_high.png,59-C2 593.92,23.png,high,2line
23_occluded.png,59-C2 593.92,23.png,occluded,2line
24_low.png,54-T3 0255,24.png,low,2line
24_medium.png,54-T3 0255,24.png,medium,2line
24_high.png,54-T3 0255,24.png,high,2line
24_occluded.png,54-T3 0255,24.png,occluded,2line
25_low.png,54-V3 9264,25.png,low,2line
25_medium.png,54-V3 9264,25.png,medium,2line
25_high.png,54-V3 9264,25.png,high,2line
25_occluded.png,54-V3 9264,25.png,occluded,2line
26_low.png,59-P2 189.00,26.png,low,2line
26_medium.png,59-P2 189.00,26.png,medium,2line
26_high.png,59-P2 189.00,26.png,high,2line
26_occluded.png,59-P2 189.00,26.png,occluded,2line
27_low.png,54-S8 4120,27.png,low,2line
27_medium.png,54-S8 4120,27.png,medium,2line
27_high.png,54-S8 4120,27.png,high,2line
27_occluded.png,54-S8 4120,27.png,occluded,2line
28_low.png,59-H1 439.86,28.png,low,2line
28_medium.png,59-H1 439.86,28.png,medium,2line
28_high.png,59-H1 439.86,28.png,high,2line
28_occluded.png,59-H1 439.86,28.png,occluded,2line
29_low.png,54-F2 8259,29.png,low,2line
29_medium.png,54-F2 8259,29.png,medium,2line
29_high.png,54-F2 8259,29.png,high,2line
29_occluded.png,54-F2 8259,29.png,occluded,2line
30_low.png,59-S2 235.46,30.png,low,2line
30_medium.png,59-S2 235.46,30.png,medium,2line
30_high.png,59-S2 235.46,30.png,high,2line
30_occluded.png,59-S2 235.46,30.png,occluded,2line
31_low.png,59-C1 397.80,31.png,low,2line
31_medium.png,59-C1 397.80,31.png,medium,2line
31_high.png,59-C1 397.80,31.png,high,2line
31_occluded.png,59-C1 397.80,31.png,occluded,2line
32_low.png,54-T1 7232,32.png,low,2line
32_medium.png,54-T1 7232,32.png,medium,2line
32_high.png,54-T1 7232,32.png,high,2line
32_occluded.png,54-T1 7232,32.png,occluded,2line
33_low.png,63-H3 1295,33.png,low,2line
33_medium.png,63-H3 1295,33.png,medium,2line
33_high.png,63-H3 1295,33.png,high,2line
33_occluded.png,63-H3 1295,33.png,occluded,2line
34_low.png,59-A3 086.40,34.png,low,2line
34_medium.png,59-A3 086.40,34.png,medium,2line
34_high.png,59-A3 086.40,34.png,high,2line
34_occluded.png,59-A3 086.40,34.png,occluded,2line
35_low.png,59-M1 600.77,35.png,low,2line
35_medium.png,59-M1 600.77,35.png,medium,2line
35_high.png,59-M1 600.77,35.png,high,2line
35_occluded.png,59-M1 600.77,35.png,occluded,2line
36_low.png,59-U1 454.76,36.png,low,2line
36_medium.png,59-U1 454.76,36.png,medium,2line
36_high.png,59-U1 454.76,36.png,high,2line
36_occluded.png,59-U1 454.76,36.png,occluded,2line
37_low.png,59-T1 616.54,37.png,low,2line
37_medium.png,59-T1 616.54,37.png,medium,2line
37_high.png,59-T1 616.54,37.png,high,2line
37_occluded.png,59-T1 616.54,37.png,occluded,2line
38_low.png,59-F1 219.26,38.png,low,2line
38_medium.png,59-F1 219.26,38.png,medium,2line
38_high.png,59-F1 219.26,38.png,high,2line
38_occluded.png,59-F1 219.26,38.png,occluded,2line
39_low.png,59-H1 028.76,39.png,low,2line
39_medium.png,59-H1 028.76,39.png,medium,2line
39_high.png,59-H1 028.76,39.png,high,2line
39_occluded.png,59-H1 028.76,39.png,occluded,2line
40_low.png,59-S2 316.06,40.png,low,2line
40_medium.png,59-S2 316.06,40.png,medium,2line
40_high.png,59-S2 316.06,40.png,high,2line
40_occluded.png,59-S2 316.06,40.png,occluded,2line
41_low.png,84-G1 225.93,41.png,low,2line
41_medium.png,84-G1 225.93,41.png,medium,2line
41_high.png,84-G1 225.93,41.png,high,2line
41_occluded.png,84-G1 225.93,41.png,occluded,2line
42_low.png,59-C2 281.14,42.png,low,2line
42_medium.png,59-C2 281.14,42.png,medium,2line
42_high.png,59-C2 281.14,42.png,high,2line
42_occluded.png,59-C2 281.14,42.png,occluded,2line
43_low.png,59-B1 378.58,43.png,low,2line
43_medium.png,59-B1 378.58,43.png,medium,2line
43_high.png,59-B1 378.58,43.png,high,2line
43_occluded.png,59-B1 378.58,43.png,occluded,2line
44_low.png,65-L1 083.96,44.png,low,2line
44_medium.png,65-L1 083.96,44.png,medium,2line
44_high.png,65-L1 083.96,44.png,high,2line
44_occluded.png,65-L1 083.96,44.png,occluded,2line
45_low.png,59-P1 892.67,45.png,low,2line
45_medium.png,59-P1 892.67,45.png,medium,2line
45_high.png,59-P1 892.67,45.png,high,2line
45_occluded.png,59-P1 892.67,45.png,occluded,2line
46_low.png,59-S2 083.38,46.png,low,2line
46_medium.png,59-S2 083.38,46.png,medium,2line
46_high.png,59-S2 083.38,46.png,high,2line
46_occluded.png,59-S2 083.38,46.png,occluded,2line
47_low.png,59-H1 636.02,47.png,low,2line
47_medium.png,59-H1 636.02,47.png,medium,2line
47_high.png,59-H1 636.02,47.png,high,2line
47_occluded.png,59-H1 636.02,47.png,occluded,2line
48_low.png,59-S1 818.34,48.png,low,2line
48_medium.png,59-S1 818.34,48.png,medium,2line
48_high.png,59-S1 818.34,48.png,high,2line
48_occluded.png,59-S1 818.34,48.png,occluded,2line
49_low.png,51-K6 1392,49.png,low,2line
49_medium.png,51-K6 1392,49.png,medium,2line
49_high.png,51-K6 1392,49.png,high,2line
49_occluded.png,51-K6 1392,49.png,occluded,2line
50_low.png,72-K1 254.76,50.png,low,2line
50_medium.png,72-K1 254.76,50.png,medium,2line
50_high.png,72-K1 254.76,50.png,high,2line
50_occluded.png,72-K1 254.76,50.png,occluded,2line
51_low.png,54-M2 9266,51.png,low,2line
51_medium.png,54-M2 9266,51.png,medium,2line
51_high.png,54-M2 9266,51.png,high,2line
51_occluded.png,54-M2 9266,51.png,occluded,2line
53_low.png,59-Y1 608.11,53.png,low,2line
53_medium.png,59-Y1 608.11,53.png,medium,2line
53_high.png,59-Y1 608.11,53.png,high,2line
53_occluded.png,59-Y1 608.11,53.png,occluded,2line
54_low.png,52-P3 9520,54.png,low,2line
54_medium.png,52-P3 9520,54.png,medium,2line
54_high.png,52-P3 9520,54.png,high,2line
54_occluded.png,52-P3 9520,54.png,occluded,2line
55_low.png,59-L1 776.93,55.png,low,2line
55_medium.png,59-L1 776.93,55.png,medium,2line
55_high.png,59-L1 776.93,55.png,high,2line
55_occluded.png,59-L1 776.93,55.png,occluded,2line
56_low.png,54-H1 5326,56.png,low,2line
56_medium.png,54-H1 5326,56.png,medium,2line
56_high.png,54-H1 5326,56.png,high,2line
56_occluded.png,54-H1 5326,56.png,occluded,2line
57_low.png,59-X1 374.38,57.png,low,2line
57_medium.png,59-X1 374.38,57.png,medium,2line
57_high.png,59-X1 374.38,57.png,high,2line
57_occluded.png,59-X1 374.38,57.png,occluded,2line
58_low.png,54-S8 5452,58.png,low,2line
58_medium.png,54-S8 5452,58.png,medium,2line
58_high.png,54-S8 5452,58.png,high,2line
58_occluded.png,54-S8 5452,58.png,occluded,2line
59_low.png,59-N1 471.02,59.png,low,2line
59_medium.png,59-N1 471.02,59.png,medium,2line
59_high.png,59-N1 471.02,59.png,high,2line
59_occluded.png,59-N1 471.02,59.png,occluded,2line
60_low.png,59-C2 414.73,60.png,low,2line
60_medium.png,59-C2 414.73,60.png,medium,2line
60_high.png,59-C2 414.73,60.png,high,2line
60_occluded.png,59-C2 414.73,60.png,occluded,2line
61_low.png,79-H1 200.23,61.png,low,2line
61_medium.png,79-H1 200.23,61.png,medium,2line
61_high.png,79-H1 200.23,61.png,high,2line
61_occluded.png,79-H1 200.23,61.png,occluded,2line
62_low.png,"60-B6 280,32",62.png,low,2line
62_medium.png,"60-B6 280,32",62.png,medium,2line
62_high.png,"60-B6 280,32",62.png,high,2line
62_occluded.png,"60-B6 280,32",62.png,occluded,2line
63_low.png,59-P2 207.70,63.png,low,2line
63_medium.png,59-P2 207.70,63.png,medium,2line
63_high.png,59-P2 207.70,63.png,high,2line
63_occluded.png,59-P2 207.70,63.png,occluded,2line
64_low.png,63-H5 4588,64.png,low,2line
64_medium.png,63-H5 4588,64.png,medium,2line
64_high.png,63-H5 4588,64.png,high,2line
64_occluded.png,63-H5 4588,64.png,occluded,2line
65_low.png,59-V2 335.22,65.png,low,2line
65_medium.png,59-V2 335.22,65.png,medium,2line
65_high.png,59-V2 335.22,65.png,high,2line
65_occluded.png,59-V2 335.22,65.png,occluded,2line
66_low.png,79-C1 221.77,66.png,low,2line
66_medium.png,79-C1 221.77,66.png,medium,2line
66_high.png,79-C1 221.77,66.png,high,2line
66_occluded.png,79-C1 221.77,66.png,occluded,2line
67_low.png,59-F1 322.10,67.png,low,2line
67_medium.png,59-F1 322.10,67.png,medium,2line
67_high.png,59-F1 322.10,67.png,high,2line
67_occluded.png,59-F1 322.10,67.png,occluded,2line
68_low.png,59-X1 243.40,68.png,low,2line
68_medium.png,59-X1 243.40,68.png,medium,2line
68_high.png,59-X1 243.40,68.png,high,2line
68_occluded.png,59-X1 243.40,68.png,occluded,2line
69_low.png,59-V2 090.48,69.png,low,2line
69_medium.png,59-V2 090.48,69.png,medium,2line
69_high.png,59-V2 090.48,69.png,high,2line
69_occluded.png,59-V2 090.48,69.png,occluded,2line
70_low.png,79-Z1 185.89,70.png,low,2line
70_medium.png,79-Z1 185.89,70.png,medium,2line
70_high.png,79-Z1 185.89,70.png,high,2line
70_occluded.png,79-Z1 185.89,70.png,occluded,2line
71_low.png,54-Y3 8211,71.png,low,2line
71_medium.png,54-Y3 8211,71.png,medium,2line
71_high.png,54-Y3 8211,71.png,high,2line
71_occluded.png,54-Y3 8211,71.png,occluded,2line
72_low.png,59-E1 029.93,72.png,low,2line
72_medium.png,59-E1 029.93,72.png,medium,2line
72_high.png,59-E1 029.93,72.png,high,2line
72_occluded.png,59-E1 029.93,72.png,occluded,2line
73_low.png,54-U5 2813,73.png,low,2line
73_medium.png,54-U5 2813,73.png,medium,2line
73_high.png,54-U5 2813,73.png,high,2line
73_occluded.png,54-U5 2813,73.png,occluded,2line
74_low.png,67-B1 696.60,74.png,low,2line
74_medium.png,67-B1 696.60,74.png,medium,2line
74_high.png,67-B1 696.60,74.png,high,2line
74_occluded.png,67-B1 696.60,74.png,occluded,2line
75_low.png,59-N1 739.48,75.png,low,2line
75_medium.png,59-N1 739.48,75.png,medium,2line
75_high.png,59-N1 739.48,75.png,high,2line
75_occluded.png,59-N1 739.48,75.png,occluded,2line
76_low.png,59-Y1 919.82,76.png,low,2line
76_medium.png,59-Y1 919.82,76.png,medium,2line
76_high.png,59-Y1 919.82,76.png,high,2line
76_occluded.png,59-Y1 919.82,76.png,occluded,2line
78_low.png,51-P9 8308,78.png,low,2line
78_medium.png,51-P9 8308,78.png,medium,2line
78_high.png,51-P9 8308,78.png,high,2line
78_occluded.png,51-P9 8308,78.png,occluded,2line
79_low.png,54-L1 8811,79.png,low,2line
79_medium.png,54-L1 8811,79.png,medium,2line
79_high.png,54-L1 8811,79.png,high,2line
79_occluded.png,54-L1 8811,79.png,occluded,2line
80_low.png,60-V7 7002,80.png,low,2line
80_medium.png,60-V7 7002,80.png,medium,2line
80_high.png,60-V7 7002,80.png,high,2line
80_occluded.png,60-V7 7002,80.png,occluded,2line
81_low.png,59-F1 138.60,81.png,low,2line
81_medium.png,59-F1 138.60,81.png,medium,2line
81_high.png,59-F1 138.60,81.png,high,2line
81_occluded.png,59-F1 138.60,81.png,occluded,2line
82_low.png,59-C2 527.95,82.png,low,2line
82_medium.png,59-C2 527.95,82.png,medium,2line
82_high.png,59-C2 527.95,82.png,high,2line
82_occluded.png,59-C2 527.95,82.png,occluded,2line
83_low.png,59-T1 888.08,83.png,low,2line
83_medium.png,59-T1 888.08,83.png,medium,2line
83_high.png,59-T1 888.08,83.png,high,2line
83_occluded.png,59-T1 888.08,83.png,occluded,2line
84_low.png,59-T1 621.33,84.png,low,2line
84_medium.png,59-T1 621.33,84.png,medium,2line
84_high.png,59-T1 621.33,84.png,high,2line
84_occluded.png,59-T1 621.33,84.png,occluded,2line
85_low.png,61-G1 043.05,85.png,low,2line
85_medium.png,61-G1 043.05,85.png,medium,2line
85_high.png,61-G1 043.05,85.png,high,2line
85_occluded.png,61-G1 043.05,85.png,occluded,2line
86_low.png,59-T1 313.40,86.png,low,2line
86_medium.png,59-T1 313.40,86.png,medium,2line
86_high.png,59-T1 313.40,86.png,high,2line
86_occluded.png,59-T1 313.40,86.png,occluded,2line
87_low.png,59-V2 008.84,87.png,low,2line
87_medium.png,59-V2 008.84,87.png,medium,2line
87_high.png,59-V2 008.84,87.png,high,2line
87_occluded.png,59-V2 008.84,87.png,occluded,2line
88_low.png,59-S1 262.08,88.png,low,2line
88_medium.png,59-S1 262.08,88.png,medium,2line
88_high.png,59-S1 262.08,88.png,high,2line
88_occluded.png,59-S1 262.08,88.png,occluded,2line
89_low.png,59-S2 080.82,89.png,low,2line
89_medium.png,59-S2 080.82,89.png,medium,2line
89_high.png,59-S2 080.82,89.png,high,2line
89_occluded.png,59-S2 080.82,89.png,occluded,2line
91_low.png,59-C1 040.54,91.png,low,2line
91_medium.png,59-C1 040.54,91.png,medium,2line
91_high.png,59-C1 040.54,91.png,high,2line
91_occluded.png,59-C1 040.54,91.png,occluded,2line
92_low.png,59-T1 534.85,92.png,low,2line
92_medium.png,59-T1 534.85,92.png,medium,2line
92_high.png,59-T1 534.85,92.png,high,2line
92_occluded.png,59-T1 534.85,92.png,occluded,2line
93_low.png,63-H5 1336,93.png,low,2line
93_medium.png,63-H5 1336,93.png,medium,2line
93_high.png,63-H5 1336,93.png,high,2line
93_occluded.png,63-H5 1336,93.png,occluded,2line
94_low.png,54-K1 6483,94.png,low,2line
94_medium.png,54-K1 6483,94.png,medium,2line
94_high.png,54-K1 6483,94.png,high,2line
94_occluded.png,54-K1 6483,94.png,occluded,2line
95_low.png,60-Z7 7813,95.png,low,2line
95_medium.png,60-Z7 7813,95.png,medium,2line
95_high.png,60-Z7 7813,95.png,high,2line
95_occluded.png,60-Z7 7813,95.png,occluded,2line
96_low.png,59-P1 664.80,96.png,low,2line
96_medium.png,59-P1 664.80,96.png,medium,2line
96_high.png,59-P1 664.80,96.png,high,2line
96_occluded.png,59-P1 664.80,96.png,occluded,2line
97_low.png,54-F3 7071,97.png,low,2line
97_medium.png,54-F3 7071,97.png,medium,2line
97_high.png,54-F3 7071,97.png,high,2line
97_occluded.png,54-F3 7071,97.png,occluded,2line
98_low.png,59-B1 234.68,98.png,low,2line
98_medium.png,59-B1 234.68,98.png,medium,2line
98_high.png,59-B1 234.68,98.png,high,2line
98_occluded.png,59-B1 234.68,98.png,occluded,2line
99_low.png,77-F1 305.41,99.png,low,2line
99_medium.png,77-F1 305.41,99.png,medium,2line
99_high.png,77-F1 305.41,99.png,high,2line
99_occluded.png,77-F1 305.41,99.png,occluded,2line
100_low.png,60-B1 864.36,100.png,low,2line
100_medium.png,60-B1 864.36,100.png,medium,2line
100_high.png,60-B1 864.36,100.png,high,2line
100_occluded.png,60-B1 864.36,100.png,occluded,2line
101_low.png,59-L1 447.16,101.png,low,2line
101_medium.png,59-L1 447.16,101.png,medium,2line
101_high.png,59-L1 447.16,101.png,high,2line
101_occluded.png,59-L1 447.16,101.png,occluded,2line
102_low.png,59-S1 248.31,102.png,low,2line
102_medium.png,59-S1 248.31,102.png,medium,2line
102_high.png,59-S1 248.31,102.png,high,2line
102_occluded.png,59-S1 248.31,102.png,occluded,2line
103_low.png,59-C1 391.13,103.png,low,2line
103_medium.png,59-C1 391.13,103.png,medium,2line
103_high.png,59-C1 391.13,103.png,high,2line
103_occluded.png,59-C1 391.13,103.png,occluded,2line
104_low.png,59-K1 418.19,104.png,low,2line
104_medium.png,59-K1 418.19,104.png,medium,2line
104_high.png,59-K1 418.19,104.png,high,2line
104_occluded.png,59-K1 418.19,104.png,occluded,2line
105_low.png,63-B9 579.26,105.png,low,2line
105_medium.png,63-B9 579.26,105.png,medium,2line
105_high.png,63-B9 579.26,105.png,high,2line
105_occluded.png,63-B9 579.26,105.png,occluded,2line
106_low.png,59-T1 347.38,106.png,low,2line
106_medium.png,59-T1 347.38,106.png,medium,2line
106_high.png,59-T1 347.38,106.png,high,2line
106_occluded.png,59-T1 347.38,106.png,occluded,2line
107_low.png,59-H1 525.12,107.png,low,2line
107_medium.png,59-H1 525.12,107.png,medium,2line
107_high.png,59-H1 525.12,107.png,high,2line
107_occluded.png,59-H1 525.12,107.png,occluded,2line
108_low.png,72-K1 085.50,108.png,low,2line
108_medium.png,72-K1 085.50,108.png,medium,2line
108_high.png,72-K1 085.50,108.png,high,2line
108_occluded.png,72-K1 085.50,108.png,occluded,2line
109_low.png,76-D1 240.27,109.png,low,2line
109_medium.png,76-D1 240.27,109.png,medium,2line
109_high.png,76-D1 240.27,109.png,high,2line
109_occluded.png,76-D1 240.27,109.png,occluded,2line
110_low.png,54-Z3 1084,110.png,low,2line
110_medium.png,54-Z3 1084,110.png,medium,2line
110_high.png,54-Z3 1084,110.png,high,2line
110_occluded.png,54-Z3 1084,110.png,occluded,2line
111_low.png,54-N4 6324,111.png,low,2line
111_medium.png,54-N4 6324,111.png,medium,2line
111_high.png,54-N4 6324,111.png,high,2line
111_occluded.png,54-N4 6324,111.png,occluded,2line
112_low.png,59-C2 019.09,112.png,low,2line
112_medium.png,59-C2 019.09,112.png,medium,2line
112_high.png,59-C2 019.09,112.png,high,2line
112_occluded.png,59-C2 019.09,112.png,occluded,2line
113_low.png,60-B6 088.80,113.png,low,2line
113_medium.png,60-B6 088.80,113.png,medium,2line
113_high.png,60-B6 088.80,113.png,high,2line
113_occluded.png,60-B6 088.80,113.png,occluded,2line
114_low.png,59-C2 628.72,114.png,low,2line
114_medium.png,59-C2 628.72,114.png,medium,2line
114_high.png,59-C2 628.72,114.png,high,2line
114_occluded.png,59-C2 628.72,114.png,occluded,2line
115_low.png,54-L2 9072,115.png,low,2line
115_medium.png,54-L2 9072,115.png,medium,2line
115_high.png,54-L2 9072,115.png,high,2line
115_occluded.png,54-L2 9072,115.png,occluded,2line
116_low.png,54-V2 263.10,116.png,low,2line
116_medium.png,54-V2 263.10,116.png,medium,2line
116_high.png,54-V2 263.10,116.png,high,2line
116_occluded.png,54-V2 263.10,116.png,occluded,2line
117_low.png,59-S1 352.52,117.png,low,2line
117_medium.png,59-S1 352.52,117.png,medium,2line
117_high.png,59-S1 352.52,117.png,high,2line
117_occluded.png,59-S1 352.52,117.png,occluded,2line
118_low.png,59-T1 052.97,118.png,low,2line
118_medium.png,59-T1 052.97,118.png,medium,2line
118_high.png,59-T1 052.97,118.png,high,2line
118_occluded.png,59-T1 052.97,118.png,occluded,2line
119_low.png,54-K4 0723,119.png,low,2line
119_medium.png,54-K4 0723,119.png,medium,2line
119_high.png,54-K4 0723,119.png,high,2line
119_occluded.png,54-K4 0723,119.png,occluded,2line
120_low.png,59-U1 598.97,120.png,low,2line
120_medium.png,59-U1 598.97,120.png,medium,2line
120_high.png,59-U1 598.97,120.png,high,2line
120_occluded.png,59-U1 598.97,120.png,occluded,2line
121_low.png,59-C1 686.12,121.png,low,2line
121_medium.png,59-C1 686.12,121.png,medium,2line
121_high.png,59-C1 686.12,121.png,high,2line
121_occluded.png,59-C1 686.12,121.png,occluded,2line
122_low.png,51-L5 4520,122.png,low,2line
122_medium.png,51-L5 4520,122.png,medium,2line
122_high.png,51-L5 4520,122.png,high,2line
122_occluded.png,51-L5 4520,122.png,occluded,2line
123_low.png,60-F2 045.65,123.png,low,2line
123_medium.png,60-F2 045.65,123.png,medium,2line
123_high.png,60-F2 045.65,123.png,high,2line
123_occluded.png,60-F2 045.65,123.png,occluded,2line
124_low.png,59-C1 653.31,124.png,low,2line
124_medium.png,59-C1 653.31,124.png,medium,2line
124_high.png,59-C1 653.31,124.png,high,2line
124_occluded.png,59-C1 653.31,124.png,occluded,2line
125_low.png,59-L1 941.76,125.png,low,2line
125_medium.png,59-L1 941.76,125.png,medium,2line
125_high.png,59-L1 941.76,125.png,high,2line
125_occluded.png,59-L1 941.76,125.png,occluded,2line
126_low.png,59-U1 661.41,126.png,low,2line
126_medium.png,59-U1 661.41,126.png,medium,2line
126_high.png,59-U1 661.41,126.png,high,2line
126_occluded.png,59-U1 661.41,126.png,occluded,2line
127_low.png,60-B1 571.22,127.png,low,2line
127_medium.png,60-B1 571.22,127.png,medium,2line
127_high.png,60-B1 571.22,127.png,high,2line
127_occluded.png,60-B1 571.22,127.png,occluded,2line
128_low.png,54-X2 6487,128.png,low,2line
128_medium.png,54-X2 6487,128.png,medium,2line
128_high.png,54-X2 6487,128.png,high,2line
128_occluded.png,54-X2 6487,128.png,occluded,2line
129_low.png,60-FL 7420,129.png,low,2line
129_medium.png,60-FL 7420,129.png,medium,2line
129_high.png,60-FL 7420,129.png,high,2line
129_occluded.png,60-FL 7420,129.png,occluded,2line
130_low.png,78-E1 241.13,130.png,low,2line
130_medium.png,78-E1 241.13,130.png,medium,2line
130_high.png,78-E1 241.13,130.png,high,2line
130_occluded.png,78-E1 241.13,130.png,occluded,2line
131_low.png,59-P1 837.38,131.png,low,2line
131_medium.png,59-P1 837.38,131.png,medium,2line
131_high.png,59-P1 837.38,131.png,high,2line
131_occluded.png,59-P1 837.38,131.png,occluded,2line
132_low.png,59-X1 695.92,132.png,low,2line
132_medium.png,59-X1 695.92,132.png,medium,2line
132_high.png,59-X1 695.92,132.png,high,2line
132_occluded.png,59-X1 695.92,132.png,occluded,2line
133_low.png,79-Z1 048.11,133.png,low,2line
133_medium.png,79-Z1 048.11,133.png,medium,2line
133_high.png,79-Z1 048.11,133.png,high,2line
133_occluded.png,79-Z1 048.11,133.png,occluded,2line
134_low.png,59-G1 251.21,134.png,low,2line
134_medium.png,59-G1 251.21,134.png,medium,2line
134_high.png,59-G1 251.21,134.png,high,2line
134_occluded.png,59-G1 251.21,134.png,occluded,2line
135_low.png,59-P2 083.24,135.png,low,2line
135_medium.png,59-P2 083.24,135.png,medium,2line
135_high.png,59-P2 083.24,135.png,high,2line
135_occluded.png,59-P2 083.24,135.png,occluded,2line
136_low.png,53-P2 4531,136.png,low,2line
136_medium.png,53-P2 4531,136.png,medium,2line
136_high.png,53-P2 4531,136.png,high,2line
136_occluded.png,53-P2 4531,136.png,occluded,2line
137_low.png,51-P7 4022,137.png,low,2line
137_medium.png,51-P7 4022,137.png,medium,2line
137_high.png,51-P7 4022,137.png,high,2line
137_occluded.png,51-P7 4022,137.png,occluded,2line
138_low.png,59-T1 830.13,138.png,low,2line
138_medium.png,59-T1 830.13,138.png,medium,2line
138_high.png,59-T1 830.13,138.png,high,2line
138_occluded.png,59-T1 830.13,138.png,occluded,2line
139_low.png,54-U5 4316,139.png,low,2line
139_medium.png,54-U5 4316,139.png,medium,2line
139_high.png,54-U5 4316,139.png,high,2line
139_occluded.png,54-U5 4316,139.png,occluded,2line
140_low.png,77-C1 393.73,140.png,low,2line
140_medium.png,77-C1 393.73,140.png,medium,2line
140_high.png,77-C1 393.73,140.png,high,2line
140_occluded.png,77-C1 393.73,140.png,occluded,2line
141_low.png,54-X8 2567,141.png,low,2line
141_medium.png,54-X8 2567,141.png,medium,2line
141_high.png,54-X8 2567,141.png,high,2line
141_occluded.png,54-X8 2567,141.png,occluded,2line
