img,plate,source_img,augment_type
34_low.png,59-A3 086.40,34.png,low
34_medium.png,59-A3 086.40,34.png,medium
34_high.png,59-A3 086.40,34.png,high
34_occluded.png,59-A3 086.40,34.png,occluded
35_low.png,59-M1 600.77,35.png,low
35_medium.png,59-M1 600.77,35.png,medium
35_high.png,59-M1 600.77,35.png,high
35_occluded.png,59-M1 600.77,35.png,occluded
36_low.png,59-U1 454.76,36.png,low
36_medium.png,59-U1 454.76,36.png,medium
36_high.png,59-U1 454.76,36.png,high
36_occluded.png,59-U1 454.76,36.png,occluded
37_low.png,59-T1 616.54,37.png,low
37_medium.png,59-T1 616.54,37.png,medium
37_high.png,59-T1 616.54,37.png,high
37_occluded.png,59-T1 616.54,37.png,occluded
38_low.png,59-F1 219.26,38.png,low
38_medium.png,59-F1 219.26,38.png,medium
38_high.png,59-F1 219.26,38.png,high
38_occluded.png,59-F1 219.26,38.png,occluded
39_low.png,59-H1 028.76,39.png,low
39_medium.png,59-H1 028.76,39.png,medium
39_high.png,59-H1 028.76,39.png,high
39_occluded.png,59-H1 028.76,39.png,occluded
40_low.png,59-S2 316.06,40.png,low
40_medium.png,59-S2 316.06,40.png,medium
40_high.png,59-S2 316.06,40.png,high
40_occluded.png,59-S2 316.06,40.png,occluded
41_low.png,84-G1 225.93,41.png,low
41_medium.png,84-G1 225.93,41.png,medium
41_high.png,84-G1 225.93,41.png,high
41_occluded.png,84-G1 225.93,41.png,occluded
42_low.png,59-C2 281.14,42.png,low
42_medium.png,59-C2 281.14,42.png,medium
42_high.png,59-C2 281.14,42.png,high
42_occluded.png,59-C2 281.14,42.png,occluded
43_low.png,59-B1 378.58,43.png,low
43_medium.png,59-B1 378.58,43.png,medium
43_high.png,59-B1 378.58,43.png,high
43_occluded.png,59-B1 378.58,43.png,occluded
44_low.png,65-L1 083.96,44.png,low
44_medium.png,65-L1 083.96,44.png,medium
44_high.png,65-L1 083.96,44.png,high
44_occluded.png,65-L1 083.96,44.png,occluded
45_low.png,59-P1 892.67,45.png,low
45_medium.png,59-P1 892.67,45.png,medium
45_high.png,59-P1 892.67,45.png,high
45_occluded.png,59-P1 892.67,45.png,occluded
46_low.png,59-S2 083.38,46.png,low
46_medium.png,59-S2 083.38,46.png,medium
46_high.png,59-S2 083.38,46.png,high
46_occluded.png,59-S2 083.38,46.png,occluded
47_low.png,59-H1 636.02,47.png,low
47_medium.png,59-H1 636.02,47.png,medium
47_high.png,59-H1 636.02,47.png,high
47_occluded.png,59-H1 636.02,47.png,occluded
48_low.png,59-S1 818.34,48.png,low
48_medium.png,59-S1 818.34,48.png,medium
48_high.png,59-S1 818.34,48.png,high
48_occluded.png,59-S1 818.34,48.png,occluded
49_low.png,51-K6 1392,49.png,low
49_medium.png,51-K6 1392,49.png,medium
49_high.png,51-K6 1392,49.png,high
49_occluded.png,51-K6 1392,49.png,occluded
50_low.png,72-K1 254.76,50.png,low
50_medium.png,72-K1 254.76,50.png,medium
50_high.png,72-K1 254.76,50.png,high
50_occluded.png,72-K1 254.76,50.png,occluded
51_low.png,54-M2 9266,51.png,low
51_medium.png,54-M2 9266,51.png,medium
51_high.png,54-M2 9266,51.png,high
51_occluded.png,54-M2 9266,51.png,occluded
53_low.png,59-Y1 608.11,53.png,low
53_medium.png,59-Y1 608.11,53.png,medium
53_high.png,59-Y1 608.11,53.png,high
53_occluded.png,59-Y1 608.11,53.png,occluded
54_low.png,52-P3 9520,54.png,low
54_medium.png,52-P3 9520,54.png,medium
54_high.png,52-P3 9520,54.png,high
54_occluded.png,52-P3 9520,54.png,occluded
55_low.png,59-L1 776.93,55.png,low
55_medium.png,59-L1 776.93,55.png,medium
55_high.png,59-L1 776.93,55.png,high
55_occluded.png,59-L1 776.93,55.png,occluded
56_low.png,54-H1 5326,56.png,low
56_medium.png,54-H1 5326,56.png,medium
56_high.png,54-H1 5326,56.png,high
56_occluded.png,54-H1 5326,56.png,occluded
57_low.png,59-X1 374.38,57.png,low
57_medium.png,59-X1 374.38,57.png,medium
57_high.png,59-X1 374.38,57.png,high
57_occluded.png,59-X1 374.38,57.png,occluded
58_low.png,54-S8 5452,58.png,low
58_medium.png,54-S8 5452,58.png,medium
58_high.png,54-S8 5452,58.png,high
58_occluded.png,54-S8 5452,58.png,occluded
59_low.png,59-N1 471.02,59.png,low
59_medium.png,59-N1 471.02,59.png,medium
59_high.png,59-N1 471.02,59.png,high
59_occluded.png,59-N1 471.02,59.png,occluded
60_low.png,59-C2 414.73,60.png,low
60_medium.png,59-C2 414.73,60.png,medium
60_high.png,59-C2 414.73,60.png,high
60_occluded.png,59-C2 414.73,60.png,occluded
61_low.png,79-H1 200.23,61.png,low
61_medium.png,79-H1 200.23,61.png,medium
61_high.png,79-H1 200.23,61.png,high
61_occluded.png,79-H1 200.23,61.png,occluded
62_low.png,"60-B6 280,32",62.png,low
62_medium.png,"60-B6 280,32",62.png,medium
62_high.png,"60-B6 280,32",62.png,high
62_occluded.png,"60-B6 280,32",62.png,occluded
63_low.png,59-P2 207.70,63.png,low
63_medium.png,59-P2 207.70,63.png,medium
63_high.png,59-P2 207.70,63.png,high
63_occluded.png,59-P2 207.70,63.png,occluded
64_low.png,63-H5 4588,64.png,low
64_medium.png,63-H5 4588,64.png,medium
64_high.png,63-H5 4588,64.png,high
64_occluded.png,63-H5 4588,64.png,occluded
65_low.png,59-V2 335.22,65.png,low
65_medium.png,59-V2 335.22,65.png,medium
65_high.png,59-V2 335.22,65.png,high
65_occluded.png,59-V2 335.22,65.png,occluded
66_low.png,79-C1 221.77,66.png,low
66_medium.png,79-C1 221.77,66.png,medium
66_high.png,79-C1 221.77,66.png,high
66_occluded.png,79-C1 221.77,66.png,occluded
67_low.png,59-F1 322.10,67.png,low
67_medium.png,59-F1 322.10,67.png,medium
67_high.png,59-F1 322.10,67.png,high
67_occluded.png,59-F1 322.10,67.png,occluded
68_low.png,59-X1 243.40,68.png,low
68_medium.png,59-X1 243.40,68.png,medium
68_high.png,59-X1 243.40,68.png,high
68_occluded.png,59-X1 243.40,68.png,occluded
69_low.png,59-V2 090.48,69.png,low
69_medium.png,59-V2 090.48,69.png,medium
69_high.png,59-V2 090.48,69.png,high
69_occluded.png,59-V2 090.48,69.png,occluded
70_low.png,79-Z1 185.89,70.png,low
70_medium.png,79-Z1 185.89,70.png,medium
70_high.png,79-Z1 185.89,70.png,high
70_occluded.png,79-Z1 185.89,70.png,occluded
71_low.png,54-Y3 8211,71.png,low
71_medium.png,54-Y3 8211,71.png,medium
71_high.png,54-Y3 8211,71.png,high
71_occluded.png,54-Y3 8211,71.png,occluded
72_low.png,59-E1 029.93,72.png,low
72_medium.png,59-E1 029.93,72.png,medium
72_high.png,59-E1 029.93,72.png,high
72_occluded.png,59-E1 029.93,72.png,occluded
73_low.png,54-U5 2813,73.png,low
73_medium.png,54-U5 2813,73.png,medium
73_high.png,54-U5 2813,73.png,high
73_occluded.png,54-U5 2813,73.png,occluded
74_low.png,67-B1 696.60,74.png,low
74_medium.png,67-B1 696.60,74.png,medium
74_high.png,67-B1 696.60,74.png,high
74_occluded.png,67-B1 696.60,74.png,occluded
75_low.png,59-N1 739.48,75.png,low
75_medium.png,59-N1 739.48,75.png,medium
75_high.png,59-N1 739.48,75.png,high
75_occluded.png,59-N1 739.48,75.png,occluded
76_low.png,59-Y1 919.82,76.png,low
76_medium.png,59-Y1 919.82,76.png,medium
76_high.png,59-Y1 919.82,76.png,high
76_occluded.png,59-Y1 919.82,76.png,occluded
78_low.png,51-P9 8308,78.png,low
78_medium.png,51-P9 8308,78.png,medium
78_high.png,51-P9 8308,78.png,high
78_occluded.png,51-P9 8308,78.png,occluded
79_low.png,54-L1 8811,79.png,low
79_medium.png,54-L1 8811,79.png,medium
79_high.png,54-L1 8811,79.png,high
79_occluded.png,54-L1 8811,79.png,occluded
80_low.png,60-V7 7002,80.png,low
80_medium.png,60-V7 7002,80.png,medium
80_high.png,60-V7 7002,80.png,high
80_occluded.png,60-V7 7002,80.png,occluded
81_low.png,59-F1 138.60,81.png,low
81_medium.png,59-F1 138.60,81.png,medium
81_high.png,59-F1 138.60,81.png,high
81_occluded.png,59-F1 138.60,81.png,occluded
82_low.png,59-C2 527.95,82.png,low
82_medium.png,59-C2 527.95,82.png,medium
82_high.png,59-C2 527.95,82.png,high
82_occluded.png,59-C2 527.95,82.png,occluded
83_low.png,59-T1 888.08,83.png,low
83_medium.png,59-T1 888.08,83.png,medium
83_high.png,59-T1 888.08,83.png,high
83_occluded.png,59-T1 888.08,83.png,occluded
84_low.png,59-T1 621.33,84.png,low
84_medium.png,59-T1 621.33,84.png,medium
84_high.png,59-T1 621.33,84.png,high
84_occluded.png,59-T1 621.33,84.png,occluded
85_low.png,61-G1 043.05,85.png,low
85_medium.png,61-G1 043.05,85.png,medium
85_high.png,61-G1 043.05,85.png,high
85_occluded.png,61-G1 043.05,85.png,occluded
86_low.png,59-T1 313.40,86.png,low
86_medium.png,59-T1 313.40,86.png,medium
86_high.png,59-T1 313.40,86.png,high
86_occluded.png,59-T1 313.40,86.png,occluded
87_low.png,59-V2 008.84,87.png,low
87_medium.png,59-V2 008.84,87.png,medium
87_high.png,59-V2 008.84,87.png,high
87_occluded.png,59-V2 008.84,87.png,occluded
88_low.png,59-S1 262.08,88.png,low
88_medium.png,59-S1 262.08,88.png,medium
88_high.png,59-S1 262.08,88.png,high
88_occluded.png,59-S1 262.08,88.png,occluded
89_low.png,59-S2 080.82,89.png,low
89_medium.png,59-S2 080.82,89.png,medium
89_high.png,59-S2 080.82,89.png,high
89_occluded.png,59-S2 080.82,89.png,occluded
91_low.png,59-C1 040.54,91.png,low
91_medium.png,59-C1 040.54,91.png,medium
91_high.png,59-C1 040.54,91.png,high
91_occluded.png,59-C1 040.54,91.png,occluded
92_low.png,59-T1 534.85,92.png,low
92_medium.png,59-T1 534.85,92.png,medium
92_high.png,59-T1 534.85,92.png,high
92_occluded.png,59-T1 534.85,92.png,occluded
93_low.png,63-H5 1336,93.png,low
93_medium.png,63-H5 1336,93.png,medium
93_high.png,63-H5 1336,93.png,high
93_occluded.png,63-H5 1336,93.png,occluded
94_low.png,54-K1 6483,94.png,low
94_medium.png,54-K1 6483,94.png,medium
94_high.png,54-K1 6483,94.png,high
94_occluded.png,54-K1 6483,94.png,occluded
95_low.png,60-Z7 7813,95.png,low
95_medium.png,60-Z7 7813,95.png,medium
95_high.png,60-Z7 7813,95.png,high
95_occluded.png,60-Z7 7813,95.png,occluded
96_low.png,59-P1 664.80,96.png,low
96_medium.png,59-P1 664.80,96.png,medium
96_high.png,59-P1 664.80,96.png,high
96_occluded.png,59-P1 664.80,96.png,occluded
97_low.png,54-F3 7071,97.png,low
97_medium.png,54-F3 7071,97.png,medium
97_high.png,54-F3 7071,97.png,high
97_occluded.png,54-F3 7071,97.png,occluded
98_low.png,59-B1 234.68,98.png,low
98_medium.png,59-B1 234.68,98.png,medium
98_high.png,59-B1 234.68,98.png,high
98_occluded.png,59-B1 234.68,98.png,occluded
99_low.png,77-F1 305.41,99.png,low
99_medium.png,77-F1 305.41,99.png,medium
99_high.png,77-F1 305.41,99.png,high
99_occluded.png,77-F1 305.41,99.png,occluded
100_low.png,60-B1 864.36,100.png,low
100_medium.png,60-B1 864.36,100.png,medium
100_high.png,60-B1 864.36,100.png,high
100_occluded.png,60-B1 864.36,100.png,occluded
101_low.png,59-L1 447.16,101.png,low
101_medium.png,59-L1 447.16,101.png,medium
101_high.png,59-L1 447.16,101.png,high
101_occluded.png,59-L1 447.16,101.png,occluded
102_low.png,59-S1 248.31,102.png,low
102_medium.png,59-S1 248.31,102.png,medium
102_high.png,59-S1 248.31,102.png,high
102_occluded.png,59-S1 248.31,102.png,occluded
103_low.png,59-C1 391.13,103.png,low
103_medium.png,59-C1 391.13,103.png,medium
103_high.png,59-C1 391.13,103.png,high
103_occluded.png,59-C1 391.13,103.png,occluded
104_low.png,59-K1 418.19,104.png,low
104_medium.png,59-K1 418.19,104.png,medium
104_high.png,59-K1 418.19,104.png,high
104_occluded.png,59-K1 418.19,104.png,occluded
105_low.png,63-B9 579.26,105.png,low
105_medium.png,63-B9 579.26,105.png,medium
105_high.png,63-B9 579.26,105.png,high
105_occluded.png,63-B9 579.26,105.png,occluded
106_low.png,59-T1 347.38,106.png,low
106_medium.png,59-T1 347.38,106.png,medium
106_high.png,59-T1 347.38,106.png,high
106_occluded.png,59-T1 347.38,106.png,occluded
107_low.png,59-H1 525.12,107.png,low
107_medium.png,59-H1 525.12,107.png,medium
107_high.png,59-H1 525.12,107.png,high
107_occluded.png,59-H1 525.12,107.png,occluded
108_low.png,72-K1 085.50,108.png,low
108_medium.png,72-K1 085.50,108.png,medium
108_high.png,72-K1 085.50,108.png,high
108_occluded.png,72-K1 085.50,108.png,occluded
109_low.png,76-D1 240.27,109.png,low
109_medium.png,76-D1 240.27,109.png,medium
109_high.png,76-D1 240.27,109.png,high
109_occluded.png,76-D1 240.27,109.png,occluded
110_low.png,54-Z3 1084,110.png,low
110_medium.png,54-Z3 1084,110.png,medium
110_high.png,54-Z3 1084,110.png,high
110_occluded.png,54-Z3 1084,110.png,occluded
111_low.png,54-N4 6324,111.png,low
111_medium.png,54-N4 6324,111.png,medium
111_high.png,54-N4 6324,111.png,high
111_occluded.png,54-N4 6324,111.png,occluded
112_low.png,59-C2 019.09,112.png,low
112_medium.png,59-C2 019.09,112.png,medium
112_high.png,59-C2 019.09,112.png,high
112_occluded.png,59-C2 019.09,112.png,occluded
113_low.png,60-B6 088.80,113.png,low
113_medium.png,60-B6 088.80,113.png,medium
113_high.png,60-B6 088.80,113.png,high
113_occluded.png,60-B6 088.80,113.png,occluded
114_low.png,59-C2 628.72,114.png,low
114_medium.png,59-C2 628.72,114.png,medium
114_high.png,59-C2 628.72,114.png,high
114_occluded.png,59-C2 628.72,114.png,occluded
115_low.png,54-L2 9072,115.png,low
115_medium.png,54-L2 9072,115.png,medium
115_high.png,54-L2 9072,115.png,high
115_occluded.png,54-L2 9072,115.png,occluded
116_low.png,54-V2 263.10,116.png,low
116_medium.png,54-V2 263.10,116.png,medium
116_high.png,54-V2 263.10,116.png,high
116_occluded.png,54-V2 263.10,116.png,occluded
117_low.png,59-S1 352.52,117.png,low
117_medium.png,59-S1 352.52,117.png,medium
117_high.png,59-S1 352.52,117.png,high
117_occluded.png,59-S1 352.52,117.png,occluded
118_low.png,59-T1 052.97,118.png,low
118_medium.png,59-T1 052.97,118.png,medium
118_high.png,59-T1 052.97,118.png,high
118_occluded.png,59-T1 052.97,118.png,occluded
119_low.png,54-K4 0723,119.png,low
119_medium.png,54-K4 0723,119.png,medium
119_high.png,54-K4 0723,119.png,high
119_occluded.png,54-K4 0723,119.png,occluded
120_low.png,59-U1 598.97,120.png,low
120_medium.png,59-U1 598.97,120.png,medium
120_high.png,59-U1 598.97,120.png,high
120_occluded.png,59-U1 598.97,120.png,occluded
121_low.png,59-C1 686.12,121.png,low
121_medium.png,59-C1 686.12,121.png,medium
121_high.png,59-C1 686.12,121.png,high
121_occluded.png,59-C1 686.12,121.png,occluded
122_low.png,51-L5 4520,122.png,low
122_medium.png,51-L5 4520,122.png,medium
122_high.png,51-L5 4520,122.png,high
122_occluded.png,51-L5 4520,122.png,occluded
123_low.png,60-F2 045.65,123.png,low
123_medium.png,60-F2 045.65,123.png,medium
123_high.png,60-F2 045.65,123.png,high
123_occluded.png,60-F2 045.65,123.png,occluded
124_low.png,59-C1 653.31,124.png,low
124_medium.png,59-C1 653.31,124.png,medium
124_high.png,59-C1 653.31,124.png,high
124_occluded.png,59-C1 653.31,124.png,occluded
125_low.png,59-L1 941.76,125.png,low
125_medium.png,59-L1 941.76,125.png,medium
125_high.png,59-L1 941.76,125.png,high
125_occluded.png,59-L1 941.76,125.png,occluded
126_low.png,59-U1 661.41,126.png,low
126_medium.png,59-U1 661.41,126.png,medium
126_high.png,59-U1 661.41,126.png,high
126_occluded.png,59-U1 661.41,126.png,occluded
127_low.png,60-B1 571.22,127.png,low
127_medium.png,60-B1 571.22,127.png,medium
127_high.png,60-B1 571.22,127.png,high
127_occluded.png,60-B1 571.22,127.png,occluded
128_low.png,54-X2 6487,128.png,low
128_medium.png,54-X2 6487,128.png,medium
128_high.png,54-X2 6487,128.png,high
128_occluded.png,54-X2 6487,128.png,occluded
129_low.png,60-FL 7420,129.png,low
129_medium.png,60-FL 7420,129.png,medium
129_high.png,60-FL 7420,129.png,high
129_occluded.png,60-FL 7420,129.png,occluded
130_low.png,78-E1 241.13,130.png,low
130_medium.png,78-E1 241.13,130.png,medium
130_high.png,78-E1 241.13,130.png,high
130_occluded.png,78-E1 241.13,130.png,occluded
131_low.png,59-P1 837.38,131.png,low
131_medium.png,59-P1 837.38,131.png,medium
131_high.png,59-P1 837.38,131.png,high
131_occluded.png,59-P1 837.38,131.png,occluded
132_low.png,59-X1 695.92,132.png,low
132_medium.png,59-X1 695.92,132.png,medium
132_high.png,59-X1 695.92,132.png,high
132_occluded.png,59-X1 695.92,132.png,occluded
133_low.png,79-Z1 048.11,133.png,low
133_medium.png,79-Z1 048.11,133.png,medium
133_high.png,79-Z1 048.11,133.png,high
133_occluded.png,79-Z1 048.11,133.png,occluded
134_low.png,59-G1 251.21,134.png,low
134_medium.png,59-G1 251.21,134.png,medium
134_high.png,59-G1 251.21,134.png,high
134_occluded.png,59-G1 251.21,134.png,occluded
135_low.png,59-P2 083.24,135.png,low
135_medium.png,59-P2 083.24,135.png,medium
135_high.png,59-P2 083.24,135.png,high
135_occluded.png,59-P2 083.24,135.png,occluded
136_low.png,53-P2 4531,136.png,low
136_medium.png,53-P2 4531,136.png,medium
136_high.png,53-P2 4531,136.png,high
136_occluded.png,53-P2 4531,136.png,occluded
137_low.png,51-P7 4022,137.png,low
137_medium.png,51-P7 4022,137.png,medium
137_high.png,51-P7 4022,137.png,high
137_occluded.png,51-P7 4022,137.png,occluded
138_low.png,59-T1 830.13,138.png,low
138_medium.png,59-T1 830.13,138.png,medium
138_high.png,59-T1 830.13,138.png,high
138_occluded.png,59-T1 830.13,138.png,occluded
139_low.png,54-U5 4316,139.png,low
139_medium.png,54-U5 4316,139.png,medium
139_high.png,54-U5 4316,139.png,high
139_occluded.png,54-U5 4316,139.png,occluded
140_low.png,77-C1 393.73,140.png,low
140_medium.png,77-C1 393.73,140.png,medium
140_high.png,77-C1 393.73,140.png,high
140_occluded.png,77-C1 393.73,140.png,occluded
141_low.png,54-X8 2567,141.png,low
141_medium.png,54-X8 2567,141.png,medium
141_high.png,54-X8 2567,141.png,high
141_occluded.png,54-X8 2567,141.png,occluded
142_low.png,51-L8 0104,142.png,low
142_medium.png,51-L8 0104,142.png,medium
142_high.png,51-L8 0104,142.png,high
142_occluded.png,51-L8 0104,142.png,occluded
143_low.png,59-P2 303.51,143.png,low
143_medium.png,59-P2 303.51,143.png,medium
143_high.png,59-P2 303.51,143.png,high
143_occluded.png,59-P2 303.51,143.png,occluded
144_low.png,61-Z1 2662,144.png,low
144_medium.png,61-Z1 2662,144.png,medium
144_high.png,61-Z1 2662,144.png,high
144_occluded.png,61-Z1 2662,144.png,occluded
145_low.png,59-E1 723.61,145.png,low
145_medium.png,59-E1 723.61,145.png,medium
145_high.png,59-E1 723.61,145.png,high
145_occluded.png,59-E1 723.61,145.png,occluded
146_low.png,54-X9 9300,146.png,low
146_medium.png,54-X9 9300,146.png,medium
146_high.png,54-X9 9300,146.png,high
146_occluded.png,54-X9 9300,146.png,occluded
147_low.png,59-T1 082.64,147.png,low
147_medium.png,59-T1 082.64,147.png,medium
147_high.png,59-T1 082.64,147.png,high
147_occluded.png,59-T1 082.64,147.png,occluded
148_low.png,51-L6 8446,148.png,low
148_medium.png,51-L6 8446,148.png,medium
148_high.png,51-L6 8446,148.png,high
148_occluded.png,51-L6 8446,148.png,occluded
149_low.png,59-X2 0354,149.png,low
149_medium.png,59-X2 0354,149.png,medium
149_high.png,59-X2 0354,149.png,high
149_occluded.png,59-X2 0354,149.png,occluded
150_low.png,59-Y1 713.64,150.png,low
150_medium.png,59-Y1 713.64,150.png,medium
150_high.png,59-Y1 713.64,150.png,high
150_occluded.png,59-Y1 713.64,150.png,occluded
151_low.png,59-K1 225.99,151.png,low
151_medium.png,59-K1 225.99,151.png,medium
151_high.png,59-K1 225.99,151.png,high
151_occluded.png,59-K1 225.99,151.png,occluded
152_low.png,59-K1 650.72,152.png,low
152_medium.png,59-K1 650.72,152.png,medium
152_high.png,59-K1 650.72,152.png,high
152_occluded.png,59-K1 650.72,152.png,occluded
153_low.png,54-2 2733,153.png,low
153_medium.png,54-2 2733,153.png,medium
153_high.png,54-2 2733,153.png,high
153_occluded.png,54-2 2733,153.png,occluded
154_low.png,59-C1 482.75,154.png,low
154_medium.png,59-C1 482.75,154.png,medium
154_high.png,59-C1 482.75,154.png,high
154_occluded.png,59-C1 482.75,154.png,occluded
155_low.png,54-S4 4283,155.png,low
155_medium.png,54-S4 4283,155.png,medium
155_high.png,54-S4 4283,155.png,high
155_occluded.png,54-S4 4283,155.png,occluded
156_low.png,50-BA 555.17,156.png,low
156_medium.png,50-BA 555.17,156.png,medium
156_high.png,50-BA 555.17,156.png,high
156_occluded.png,50-BA 555.17,156.png,occluded
157_low.png,59-T1 922.70,157.png,low
157_medium.png,59-T1 922.70,157.png,medium
157_high.png,59-T1 922.70,157.png,high
157_occluded.png,59-T1 922.70,157.png,occluded
158_low.png,47-C1 152.94,158.png,low
158_medium.png,47-C1 152.94,158.png,medium
158_high.png,47-C1 152.94,158.png,high
158_occluded.png,47-C1 152.94,158.png,occluded
159_low.png,59-E1 531.27,159.png,low
159_medium.png,59-E1 531.27,159.png,medium
159_high.png,59-E1 531.27,159.png,high
159_occluded.png,59-E1 531.27,159.png,occluded
160_low.png,61-C1 064.03,160.png,low
160_medium.png,61-C1 064.03,160.png,medium
160_high.png,61-C1 064.03,160.png,high
